label,messages,length
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,157
ham,"Yo my trip got postponed, you still stocked up?",47
ham,:( but your not here....,24
ham,Where are you call me.,22
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,133
ham,No did you check? I got his detailed message now,48
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,137
ham,The new deus ex game comin early next yr,40
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way,86
ham,No prob. I will send to your email.,35
ham,"Awesome, I'll see you in a bit",30
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",146
ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,113
ham,Whos this am in class:-),24
ham,Probably earlier than that if the station's where I think it is,63
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",179
ham,Easy ah?sen got selected means its good..,41
ham,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,142
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,53
ham,We're finally ready fyi,23
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,91
ham,Kallis wont bat in 2nd innings.,31
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,86
ham,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",158
ham,That's one of the issues but california is okay. No snow so its manageable,74
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",158
ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",446
ham,"Sir, i am waiting for your call.",32
spam,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,165
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75
ham,"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",73
ham, &lt;#&gt;  mins but i had to stop somewhere first.,51
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,114
ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",168
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",188
ham,Every monday..nxt week vl be completing..,41
ham,I doubt you could handle 5 times per night in any case...,57
ham,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",111
ham,Poor girl can't go one day lmao,31
ham,"HEY KATE, HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.",150
ham,Kay... Since we are out already ,32
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,136
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,127
ham,"Aight that'll work, thanks",26
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only,158
ham,And now electricity just went out fml.,38
ham,No way I'm going back there!,28
ham,Hahaha..use your brain dear,27
ham,On the way to office da..,25
ham,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",96
ham,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,134
ham,WHITE FUDGE OREOS ARE IN STORES,31
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,121
ham,"Aight, lemme know what's up",27
ham,Tell me something. Thats okay.,30
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,103
ham,"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance",130
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,111
ham,Studying. But i.ll be free next weekend.,40
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,87
ham,I need to come home and give you some good lovin...,51
ham,No:-)i got rumour that you going to buy apartment in chennai:-),63
